0.51,0.35,0.14,0.02
0.49,0.3,0.14,0.02
0.47,0.32,0.13,0.02
0.46,0.31,0.15,0.02
0.5,0.36,0.14,0.02
0.54,0.39,0.17,0.04
0.46,0.34,0.14,0.03
0.5,0.34,0.15,0.02
0.44,0.29,0.14,0.02
0.49,0.31,0.15,0.01
0.54,0.37,0.15,0.02
0.48,0.34,0.16,0.02
0.48,0.3,0.14,0.01
0.43,0.3,0.11,0.01
0.58,0.4,0.12,0.02
0.57,0.44,0.15,0.04
0.54,0.39,0.13,0.04
0.51,0.35,0.14,0.03
0.57,0.38,0.17,0.03
0.51,0.38,0.15,0.03
0.54,0.34,0.17,0.02
0.51,0.37,0.15,0.04
0.46,0.36,0.1,0.02
0.51,0.33,0.17,0.05
0.48,0.34,0.19,0.02
0.5,0.3,0.16,0.02
0.5,0.34,0.16,0.04
0.52,0.35,0.15,0.02
0.52,0.34,0.14,0.02
0.47,0.32,0.16,0.02
0.48,0.31,0.16,0.02
0.54,0.34,0.15,0.04
0.52,0.41,0.15,0.01
0.55,0.42,0.14,0.02
0.49,0.31,0.15,0.02
0.5,0.32,0.12,0.02
0.55,0.35,0.13,0.02
0.49,0.36,0.14,0.01
0.44,0.3,0.13,0.02
0.51,0.34,0.15,0.02
0.5,0.35,0.13,0.03
0.45,0.23,0.13,0.03
0.44,0.32,0.13,0.02
0.5,0.35,0.16,0.06
0.51,0.38,0.19,0.04
0.48,0.3,0.14,0.03
0.51,0.38,0.16,0.02
0.46,0.32,0.14,0.02
0.53,0.37,0.15,0.02
0.5,0.33,0.14,0.02
0.7,0.32,0.47,0.14
0.64,0.32,0.45,0.15
0.69,0.31,0.49,0.15
0.55,0.23,0.4,0.13
0.65,0.28,0.46,0.15
0.57,0.28,0.45,0.13
0.63,0.33,0.47,0.16
0.49,0.24,0.33,0.1
0.66,0.29,0.46,0.13
0.52,0.27,0.39,0.14
0.5,0.2,0.35,0.1
0.59,0.3,0.42,0.15
0.6,0.22,0.4,0.1
0.61,0.29,0.47,0.14
0.56,0.29,0.36,0.13
0.67,0.31,0.44,0.14
0.56,0.3,0.45,0.15
0.58,0.27,0.41,0.1
0.62,0.22,0.45,0.15
0.56,0.25,0.39,0.11
0.59,0.32,0.48,0.18
0.61,0.28,0.4,0.13
0.63,0.25,0.49,0.15
0.61,0.28,0.47,0.12
0.64,0.29,0.43,0.13
0.66,0.3,0.44,0.14
0.68,0.28,0.48,0.14
0.67,0.3,0.5,0.17
0.6,0.29,0.45,0.15
0.57,0.26,0.35,0.1
0.55,0.24,0.38,0.11
0.55,0.24,0.37,0.1
0.58,0.27,0.39,0.12
0.6,0.27,0.51,0.16
0.54,0.3,0.45,0.15
0.6,0.34,0.45,0.16
0.67,0.31,0.47,0.15
0.63,0.23,0.44,0.13
0.56,0.3,0.41,0.13
0.55,0.25,0.4,0.13
0.55,0.26,0.44,0.12
0.61,0.3,0.46,0.14
0.58,0.26,0.4,0.12
0.5,0.23,0.33,0.1
0.56,0.27,0.42,0.13
0.57,0.3,0.42,0.12
0.57,0.29,0.42,0.13
0.62,0.29,0.43,0.13
0.51,0.25,0.3,0.11
0.57,0.28,0.41,0.13
0.63,0.33,0.6,0.25
0.58,0.27,0.51,0.19
0.71,0.3,0.59,0.21
0.63,0.29,0.56,0.18
0.65,0.3,0.58,0.22
0.76,0.3,0.66,0.21
0.49,0.25,0.45,0.17
0.73,0.29,0.63,0.18
0.67,0.25,0.58,0.18
0.72,0.36,0.61,0.25
0.65,0.32,0.51,0.2
0.64,0.27,0.53,0.19
0.68,0.3,0.55,0.21
0.57,0.25,0.5,0.2
0.58,0.28,0.51,0.24
0.64,0.32,0.53,0.23
0.65,0.3,0.55,0.18
0.77,0.38,0.67,0.22
0.77,0.26,0.69,0.23
0.6,0.22,0.5,0.15
0.69,0.32,0.57,0.23
0.56,0.28,0.49,0.2
0.77,0.28,0.67,0.2
0.63,0.27,0.49,0.18
0.67,0.33,0.57,0.21
0.72,0.32,0.6,0.18
0.62,0.28,0.48,0.18
0.61,0.3,0.49,0.18
0.64,0.28,0.56,0.21
0.72,0.3,0.58,0.16
0.74,0.28,0.61,0.19
0.79,0.38,0.64,0.2
0.64,0.28,0.56,0.22
0.63,0.28,0.51,0.15
0.61,0.26,0.56,0.14
0.77,0.3,0.61,0.23
0.63,0.34,0.56,0.24
0.64,0.31,0.55,0.18
0.6,0.3,0.48,0.18
0.69,0.31,0.54,0.21
0.67,0.31,0.56,0.24
0.69,0.31,0.51,0.23
0.58,0.27,0.51,0.19
0.68,0.32,0.59,0.23
0.67,0.33,0.57,0.25
0.67,0.3,0.52,0.23
0.63,0.25,0.5,0.19
0.65,0.3,0.52,0.2
0.62,0.34,0.54,0.23
0.59,0.3,0.51,0.18
